,stop_id,on_street,cross_street,routes,boardings,alightings,location
2550,3416,63RD STREET,THROOP,63,44.6,34.1,"(41.7795, -87.657092)"
2551,3417,63RD STREET,RACINE,63,294.6,201.5,"(41.77954019, -87.65462323)"
2552,3418,63RD STREET,ABERDEEN,63,83.2,58.5,"(41.779563, -87.652178)"
2553,3420,63RD STREET,PEORIA,63,107.1,45.0,"(41.77963735, -87.64732819)"
2554,3421,63RD STREET,HALSTED,63,678.7,516.6,"(41.77971854, -87.64489485)"
2555,3422,63RD STREET,UNION,63,185.9,114.2,"(41.77975164, -87.64195389)"
2556,3423,63RD STREET,LOWE,63,245.5,134.6,"(41.7797413, -87.64097214)"
2557,3424,63RD STREET,WALLACE,63,12.5,10.4,"(41.77976843, -87.63943912)"
2558,3425,63RD STREET,NORMAL,63,71.6,145.8,"(41.779798, -87.637617)"
2559,3427,63RD STREET,HARVARD,63,2.6,5.5,"(41.779872, -87.633517)"
2560,3428,63RD STREET,PRINCETON,63,5.9,64.9,"(41.779877, -87.632628)"
2561,3429,63RD STREET,YALE,63,331.6,1513.6,"(41.77988, -87.631904)"
2562,3430,63RD STREET,WENTWORTH,63,540.2,60.1,"(41.779907, -87.629887)"
2563,3432,63RD STREET,STATE,63,126.5,156.7,"(41.779987, -87.625107)"
2564,3433,63RD STREET,WABASH,63,13.5,23.1,"(41.77994977, -87.62368873)"
2565,3434,63RD STREET,MICHIGAN,63,67.3,120.3,"(41.77997097, -87.62227473)"
2566,3435,63RD STREET,INDIANA,63,23.7,50.0,"(41.780058, -87.620534)"
2567,3436,63RD STREET,PRAIRIE,63,13.4,37.8,"(41.780107, -87.618939)"
2568,3437,63RD STREET,KING DRIVE,63,403.5,705.6,"(41.78017641, -87.6157171)"
2569,3438,63RD STREET,EBERHART,"N4,63",80.3,77.1,"(41.78019113, -87.6132692)"
2570,3439,63RD STREET,RHODES,"N4,63",24.2,56.1,"(41.78021399, -87.61217184)"
2571,3440,63RD STREET,ST. LAWRENCE,"N4,63",37.6,104.8,"(41.78026229, -87.61089338)"
2572,3441,63RD STREET,LANGLEY,"N4,63",23.5,73.7,"(41.78028994, -87.60845469)"
2573,3442,63RD STREET,COTTAGE GROVE,63,392.5,692.6,"(41.780348, -87.606056)"
2574,3443,63RD STREET,DREXEL (west leg),63,110.5,67.6,"(41.78037629, -87.60429231)"
2575,3444,63RD STREET,INGLESIDE (west leg),63,49.2,115.5,"(41.78037, -87.602558)"
2576,3445,63RD STREET,ELLIS (east leg),63,23.5,55.6,"(41.780423, -87.60063)"
2577,3446,63RD STREET,GREENWOOD (east leg),63,19.1,54.4,"(41.780435, -87.599368)"
2578,3447,63RD STREET,UNIVERSITY (east leg),63,39.1,118.3,"(41.780453, -87.597432)"
2579,3448,63RD STREET,WOODLAWN,63,37.1,176.5,"(41.78046005, -87.59628914)"
2580,3449,63RD STREET,KIMBARK,63,27.3,109.3,"(41.78048005, -87.59478214)"
2581,3450,63RD STREET,KENWOOD,63,16.5,121.5,"(41.78046643, -87.59319963)"
2582,3451,63RD STREET,DORCHESTER,63,32.4,142.7,"(41.78048242, -87.59162263)"
